trade_date,stock,open,close,cash,shares,market_value,total_equity,ma_short,ma_long,rsi,volume,volume_ma,pullback_ok,pullback_score,pullback_labels,intraday_confirmed,intraday_score,intraday_labels,intraday_rebound_from_low,intraday_close_in_range,intraday_hold_from_low,executed_action,executed_reason,next_signal,next_signal_reason
20240102,510300.SH,3.222,3.173,100000.0,0,0.0,100000.0,,,0.0,9429306,,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240103,510300.SH,3.166,3.163,100000.0,0,0.0,100000.0,,,0.0,10617503,,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240104,510300.SH,3.162,3.133,100000.0,0,0.0,100000.0,,,0.0,16661525,,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240105,510300.SH,3.124,3.116,100000.0,0,0.0,100000.0,,,0.0,16996697,,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240108,510300.SH,3.109,3.069,100000.0,0,0.0,100000.0,3.1308,,0.0,17304244,14201855.0,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240109,510300.SH,3.071,3.077,100000.0,0,0.0,100000.0,3.1116,,0.0,11312178,14578429.4,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240110,510300.SH,3.07,3.061,100000.0,0,0.0,100000.0,3.0912,,6.25,9582541,14371437.0,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240111,510300.SH,3.061,3.08,100000.0,0,0.0,100000.0,3.0806,,19.708,12662372,13571606.4,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240112,510300.SH,3.071,3.069,100000.0,0,0.0,100000.0,3.0712,,22.8814,8413273,11854921.6,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240115,510300.SH,3.05,3.065,100000.0,0,0.0,100000.0,3.0704,,25.7143,9055706,10205214.0,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240116,510300.SH,3.06,3.087,100000.0,0,0.0,100000.0,3.0724,,61.25,17689524,11480683.2,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240117,510300.SH,3.077,3.012,100000.0,0,0.0,100000.0,3.0626,,27.8912,12862152,12136605.4,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240118,510300.SH,3.007,3.057,100000.0,0,0.0,100000.0,3.058,,48.8636,47543511,19112833.2,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240119,510300.SH,3.038,3.064,100000.0,0,0.0,100000.0,3.057,,45.122,36944521,24819082.8,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240122,510300.SH,3.054,2.995,100000.0,0,0.0,100000.0,3.043,,33.3333,46470565,32302054.6,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
20240123,510300.SH,2.988,3.017,100000.0,0,0.0,100000.0,3.029,,40.0,13924804,31549110.6,False,0,日线指标窗口不足,False,0,无30m信号数据,,,,hold,,watch,日线指标窗口不足 | 无30m信号数据
