group,feature,feature_cn,positive_count,control_count,positive_mean,control_mean,positive_median,control_median,mean_gap,std_diff,abs_std_diff,single_feature_auc,mann_whitney_p
intraday,m5_volume_ratio_after_low,5分钟低点后平均成交量相对低点前变化,11,231,0.338711,-0.335198,0.0,-0.502357,0.673908,1.174185,1.174185,0.726092,0.01139
intraday,m1_close_in_range,1分钟收盘在日内振幅中的位置,11,231,0.296843,0.570026,0.296296,0.6,-0.273183,-0.948721,0.948721,0.770563,0.002457
intraday,m5_close_in_range,5分钟收盘在日内振幅中的位置,11,231,0.296843,0.570026,0.296296,0.6,-0.273183,-0.948721,0.948721,0.770563,0.002457
intraday,m1_close_vs_open,1分钟收盘相对开盘涨跌幅,11,231,-0.004297,0.001628,-0.002528,0.001593,-0.005925,-0.740258,0.740258,0.734357,0.008715
intraday,m5_close_vs_open,5分钟收盘相对开盘涨跌幅,11,231,-0.004297,0.001628,-0.002528,0.001593,-0.005925,-0.740258,0.740258,0.734357,0.008715
intraday,m5_low_pos,5分钟最低点所在bar序号,11,231,27.545455,15.277056,31.0,8.0,12.268398,0.733423,0.733423,0.706218,0.019451
intraday,m5_low_pos_ratio,5分钟最低点出现位置占全天比例,11,231,0.586074,0.325044,0.659574,0.170213,0.26103,0.733423,0.733423,0.706218,0.019451
intraday,m1_low_pos,1分钟最低点所在bar序号,11,231,140.454545,78.909091,159.0,42.0,61.545455,0.730055,0.730055,0.718024,0.01448
intraday,m1_low_pos_ratio,1分钟最低点出现位置占全天比例,11,231,0.585227,0.328788,0.6625,0.175,0.256439,0.730055,0.730055,0.718024,0.01448
intraday,m1_volume_ratio_after_low,1分钟低点后平均成交量相对低点前变化,11,231,0.245393,-0.229484,0.0,-0.438076,0.474877,0.673907,0.673907,0.689492,0.033966
intraday,m1_rebound_to_close,1分钟最低点到收盘反弹幅度,11,231,0.003986,0.007056,0.003555,0.005937,-0.00307,-0.572729,0.572729,0.678079,0.046303
intraday,m5_rebound_to_close,5分钟最低点到收盘反弹幅度,11,231,0.003986,0.007056,0.003555,0.005937,-0.00307,-0.572729,0.572729,0.678079,0.046303
intraday,m5_up_close_streak_after_low,5分钟低点后连续抬高收盘的最长根数,11,231,2.545455,3.528139,2.0,3.0,-0.982684,-0.513104,0.513104,0.664109,0.06218
intraday,m5_low_before_last_quarter,5分钟最低点是否出现在最后四分之一天之前,11,231,0.636364,0.822511,1.0,1.0,-0.186147,-0.478848,0.478848,0.593074,0.122621
intraday,m1_low_before_last_quarter,1分钟最低点是否出现在最后四分之一天之前,11,231,0.636364,0.796537,1.0,1.0,-0.160173,-0.392427,0.392427,0.580087,0.205203
intraday,m1_rebound_to_high_after_low,1分钟最低点到后续最高点反弹幅度,11,231,0.007275,0.009254,0.005085,0.008473,-0.001979,-0.340335,0.340335,0.603503,0.247184
intraday,m5_rebound_to_high_after_low,5分钟最低点到后续最高点反弹幅度,11,231,0.007336,0.009266,0.005085,0.008473,-0.00193,-0.333081,0.333081,0.601928,0.25446
intraday,m1_up_bar_ratio_after_low,1分钟低点后阳线占比,11,231,0.371296,0.403107,0.407407,0.403846,-0.031812,-0.287687,0.287687,0.532861,0.71443
intraday,m1_up_close_streak_after_low,1分钟低点后连续抬高收盘的最长根数,11,231,4.272727,4.748918,4.0,5.0,-0.47619,-0.233096,0.233096,0.544471,0.614067
intraday,m1_day_range,1分钟层面全天振幅,11,231,0.012756,0.01243,0.011791,0.011054,0.000326,0.057422,0.057422,0.50669,0.942014
intraday,m5_day_range,5分钟层面全天振幅,11,231,0.012756,0.01243,0.011791,0.011054,0.000326,0.057422,0.057422,0.50669,0.942014
intraday,m5_up_bar_ratio_after_low,5分钟低点后阳线占比,11,231,0.499005,0.499783,0.5,0.489362,-0.000778,-0.004336,0.004336,0.508068,0.929716
intraday,m1_post_low_min_return,1分钟低点后再次下探幅度,11,231,0.0,0.0,0.0,0.0,0.0,,,0.5,1.0
intraday,m5_post_low_min_return,5分钟低点后再次下探幅度,11,231,0.0,0.0,0.0,0.0,0.0,,,0.5,1.0
