rule_name,rule_label,trade_date,signal_time,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,signal_bar_pos,signal_price,signal_low_so_far,est_day_return,est_day_close_in_range,m5_low_pos,m5_low_pos_ratio,m5_current_pos_ratio,m5_volume_ratio_after_low
intraday_weak_late_low,盘中弱势低位-低点偏晚,20250527,20250527130500,-0.028534,-0.009128,38.297872,24.0,3.737,3.729,-0.005059,0.275862,23.0,0.489362,0.510638,-0.300371
intraday_weak_late_low,盘中弱势低位-低点偏晚,20250801,20250801130500,-0.029696,-0.009896,36.25,24.0,4.017,4.015,-0.00372,0.083333,24.0,0.510638,0.510638,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251020,20251020140500,-0.047528,-0.017528,22.093023,36.0,4.514,4.513,0.002888,0.02381,36.0,0.765957,0.765957,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251118,20251118131500,-0.028292,-0.012104,29.468599,26.0,4.562,4.559,-0.00545,0.085714,26.0,0.553191,0.553191,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251120,20251120133000,-0.031057,-0.013118,32.8125,29.0,4.584,4.572,0.002186,0.352941,18.0,0.382979,0.617021,-0.64846
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251121,20251121144500,-0.032121,-0.014907,28.909953,44.0,4.446,4.445,-0.023501,0.011628,44.0,0.93617,0.93617,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251124,20251124130500,-0.055733,-0.034313,5.072464,24.0,4.421,4.41,-0.004503,0.211538,23.0,0.489362,0.510638,-0.504923
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251127,20251127144000,-0.047101,-0.00887,37.219731,43.0,4.504,4.504,0.000222,0.0,43.0,0.914894,0.914894,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20251216,20251216130500,-0.044051,-0.003662,39.735099,24.0,4.49,4.48,-0.011884,0.15625,17.0,0.361702,0.510638,-0.731198
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260122,20260122130500,-0.027468,-0.003959,22.077922,24.0,4.711,4.703,-0.004017,0.140351,23.0,0.489362,0.510638,-0.862056
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260123,20260123143500,-0.028707,-0.004318,34.0,42.0,4.692,4.692,-0.007404,0.0,42.0,0.893617,0.893617,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260202,20260202130500,-0.028667,-0.002942,44.594595,24.0,4.655,4.647,-0.011887,0.111111,24.0,0.510638,0.510638,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260320,20260320143000,-0.031706,-0.014106,12.666667,41.0,4.599,4.597,0.0,0.052632,41.0,0.87234,0.87234,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260323,20260323130500,-0.033397,-0.017119,12.179487,24.0,4.488,4.468,-0.019231,0.289855,23.0,0.489362,0.510638,0.021183
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260326,20260326130500,-0.047981,-0.011895,35.911602,24.0,4.519,4.517,-0.005502,0.066667,24.0,0.510638,0.510638,-1.0
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260331,20260331130500,-0.058761,-0.009509,38.953488,24.0,4.487,4.471,-0.002889,0.275862,23.0,0.489362,0.510638,-0.4671
intraday_weak_late_low,盘中弱势低位-低点偏晚,20260403,20260403130500,-0.035599,-0.002688,38.396624,24.0,4.457,4.457,-0.007129,0.0,24.0,0.510638,0.510638,-1.0
intraday_weak_low,盘中弱势低位预警,20250527,20250527130500,-0.028534,-0.009128,38.297872,24.0,3.737,3.729,-0.005059,0.275862,23.0,0.489362,0.510638,-0.300371
intraday_weak_low,盘中弱势低位预警,20250528,20250528130500,-0.032944,-0.013419,33.027523,24.0,3.735,3.727,0.0,0.444444,12.0,0.255319,0.510638,-0.301621
intraday_weak_low,盘中弱势低位预警,20250801,20250801130500,-0.029696,-0.009896,36.25,24.0,4.017,4.015,-0.00372,0.083333,24.0,0.510638,0.510638,-1.0
intraday_weak_low,盘中弱势低位预警,20251020,20251020140500,-0.047528,-0.017528,22.093023,36.0,4.514,4.513,0.002888,0.02381,36.0,0.765957,0.765957,-1.0
intraday_weak_low,盘中弱势低位预警,20251118,20251118130500,-0.028292,-0.012104,29.468599,24.0,4.566,4.563,-0.004578,0.096774,6.0,0.12766,0.510638,-0.595661
intraday_weak_low,盘中弱势低位预警,20251119,20251119130500,-0.034035,-0.016945,22.072072,24.0,4.567,4.555,0.001535,0.307692,0.0,0.0,0.510638,-0.71696
