rule_name,rule_label,fill_mode,horizon_days,trade_count,month_count,win_rate,avg_return,median_return,min_return,avg_mae,worst_mae,avg_max_drawdown
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,17,9,0.764706,0.007678,0.010337,-0.015148,-0.009818,-0.027164,-0.018525
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,12,8,0.75,0.007417,0.010233,-0.015148,-0.009346,-0.025467,-0.018264
intraday_weak_low,盘中弱势低位预警,next_open,3,26,9,0.730769,0.004545,0.004946,-0.033254,-0.011925,-0.041513,-0.020235
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,17,9,0.882353,0.014257,0.012921,-0.014929,-0.010849,-0.031833,-0.020915
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,12,8,0.916667,0.013255,0.009206,-0.014929,-0.010531,-0.031833,-0.020771
intraday_weak_low,盘中弱势低位预警,next_open,5,26,9,0.692308,0.008354,0.00881,-0.019126,-0.013961,-0.041513,-0.023343
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,17,9,0.705882,0.020958,0.018534,-0.010601,-0.012915,-0.031833,-0.025418
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,12,8,0.666667,0.018489,0.017193,-0.00951,-0.013457,-0.031833,-0.027151
intraday_weak_low,盘中弱势低位预警,next_open,10,26,9,0.692308,0.014827,0.015117,-0.012932,-0.01701,-0.041513,-0.028283
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,15,8,0.866667,0.03638,0.033459,-0.007574,-0.014543,-0.031833,-0.036315
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,11,7,0.818182,0.033763,0.015222,-0.007574,-0.015751,-0.031833,-0.036538
intraday_weak_low,盘中弱势低位预警,next_open,20,24,8,0.791667,0.026304,0.013451,-0.020106,-0.018814,-0.041513,-0.03678
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,12,8,0.833333,0.007572,0.00835,-0.025203,-0.009788,-0.033531,-0.01989
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,17,9,0.823529,0.006413,0.009222,-0.029668,-0.010811,-0.042183,-0.021416
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,26,9,0.807692,0.004853,0.004938,-0.029668,-0.011291,-0.044676,-0.020822
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,12,8,0.833333,0.008607,0.007228,-0.024561,-0.012457,-0.033531,-0.022899
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,17,9,0.764706,0.0082,0.006907,-0.024989,-0.013101,-0.042183,-0.024277
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,26,9,0.692308,0.005103,0.004668,-0.025843,-0.01459,-0.044676,-0.025163
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,17,9,0.705882,0.017377,0.013277,-0.019896,-0.015636,-0.042183,-0.028161
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,12,8,0.666667,0.014695,0.008825,-0.004712,-0.016042,-0.033531,-0.028401
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,26,9,0.615385,0.011358,0.007075,-0.022446,-0.018305,-0.044676,-0.030141
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,15,8,0.866667,0.032248,0.029132,-0.004619,-0.017642,-0.042183,-0.037965
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,11,7,0.909091,0.030142,0.02139,-0.005046,-0.01855,-0.033531,-0.036922
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,24,8,0.833333,0.024309,0.01527,-0.018652,-0.020281,-0.044676,-0.037811
