entry_rule_label,entry_offset_bars,exit_rule_name,exit_rule_label,strategy_trade_count,month_count,win_rate,avg_return,median_return,compounded_return,min_return,avg_mae,worst_mae,avg_mfe,avg_holding_trade_days
盘中弱势低位-量能修复,2,time_3d,3日时间退出,9,8,0.777778,0.010111,0.01204,0.094228,-0.002329,-0.007175,-0.015642,0.014628,3.0
盘中弱势低位-量能修复,2,tp12_sl20_time3,止盈1.2止损2.0时间3日,9,8,0.777778,0.007915,0.011844,0.073294,-0.002329,-0.007175,-0.015642,0.012239,2.889
盘中弱势低位-量能修复,2,tp18_sl25_time5,止盈1.8止损2.5时间5日,8,8,0.75,0.005563,0.004891,0.044658,-0.022164,-0.009865,-0.025894,0.014718,4.375
盘中弱势低位-量能修复,2,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,9,8,0.888889,0.004807,0.006257,0.04346,-0.022164,-0.010029,-0.025894,0.015617,4.444
盘中弱势低位-量能修复,2,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,6,6,0.5,-0.001574,0.000864,-0.010514,-0.027313,-0.013144,-0.027948,0.019832,7.833
盘中弱势低位-量能修复,3,time_3d,3日时间退出,9,8,0.777778,0.010291,0.012469,0.095978,-0.001906,-0.006803,-0.016082,0.014807,3.0
盘中弱势低位-量能修复,3,tp12_sl20_time3,止盈1.2止损2.0时间3日,9,8,0.777778,0.00803,0.012219,0.07439,-0.001906,-0.006803,-0.016082,0.012228,2.889
盘中弱势低位-量能修复,3,tp18_sl25_time5,止盈1.8止损2.5时间5日,8,8,0.875,0.005712,0.005069,0.045798,-0.025433,-0.009279,-0.025652,0.014976,4.25
盘中弱势低位-量能修复,3,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,9,8,0.888889,0.004719,0.005807,0.04255,-0.025433,-0.009533,-0.025652,0.015797,4.333
盘中弱势低位-量能修复,3,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,6,6,0.5,-0.002101,0.001047,-0.013708,-0.026901,-0.012791,-0.027537,0.019703,7.667
