event_time,trade_date,event_type,event_label,stock,price,entry_offset_bars,position_id,status,message
20260202131000,20260202,BUY_WARNING,买入预警,510300.SH,4.657,,,已触发,盘中弱势低位-量能修复：前10日回撤=-2.87%；昨收偏离MA10=-0.29%；前日RSI6=44.59；估算日内位置=13.89%；估算当日涨跌=-1.15%；低点位置=51.06%；低点后量能修复=18.13%
20260202132000,20260202,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.651,2.0,,可人工观察,信号后第 2 根 5m K 线开盘，候选买入价=4.651。
20260202132500,20260202,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.639,3.0,,可人工观察,信号后第 3 根 5m K 线开盘，候选买入价=4.639。
20260202132500,20260202,SIM_BUY,模拟买入,510300.SH,4.639,3.0,1.0,开仓,按主口径：信号后第 3 根 5m K 线开盘模拟买入；计划第 3 个交易日尾盘退出。
20260204150000,20260204,EXIT_REMINDER,退出提示,510300.SH,4.707,,1.0,时间退出,第 3 个交易日尾盘退出提示；模拟收益=1.47%。
20260323130500,20260323,BUY_WARNING,买入预警,510300.SH,4.488,,,已触发,盘中弱势低位-量能修复：前10日回撤=-3.34%；昨收偏离MA10=-1.71%；前日RSI6=12.18；估算日内位置=28.99%；估算当日涨跌=-1.92%；低点位置=48.94%；低点后量能修复=2.12%
20260323131500,20260323,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.475,2.0,,可人工观察,信号后第 2 根 5m K 线开盘，候选买入价=4.475。
20260323132000,20260323,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.477,3.0,,可人工观察,信号后第 3 根 5m K 线开盘，候选买入价=4.477。
20260323132000,20260323,SIM_BUY,模拟买入,510300.SH,4.477,3.0,2.0,开仓,按主口径：信号后第 3 根 5m K 线开盘模拟买入；计划第 3 个交易日尾盘退出。
20260325150000,20260325,EXIT_REMINDER,退出提示,510300.SH,4.544,,2.0,时间退出,第 3 个交易日尾盘退出提示；模拟收益=1.50%。
20260326132000,20260326,BUY_WARNING,买入预警,510300.SH,4.504,,,已触发,盘中弱势低位-量能修复：前10日回撤=-4.80%；昨收偏离MA10=-1.19%；前日RSI6=35.91；估算日内位置=4.44%；估算当日涨跌=-0.88%；低点位置=55.32%；低点后量能修复=-6.93%
20260326133000,20260326,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.496,2.0,,可人工观察,信号后第 2 根 5m K 线开盘，候选买入价=4.496。
20260326133500,20260326,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.497,3.0,,可人工观察,信号后第 3 根 5m K 线开盘，候选买入价=4.497。
20260326133500,20260326,SIM_BUY,模拟买入,510300.SH,4.497,3.0,3.0,开仓,按主口径：信号后第 3 根 5m K 线开盘模拟买入；计划第 3 个交易日尾盘退出。
20260330150000,20260330,EXIT_REMINDER,退出提示,510300.SH,4.5,,3.0,时间退出,第 3 个交易日尾盘退出提示；模拟收益=0.07%。
20260403131500,20260403,BUY_WARNING,买入预警,510300.SH,4.456,,,已触发,盘中弱势低位-量能修复：前10日回撤=-3.56%；昨收偏离MA10=-0.27%；前日RSI6=38.40；估算日内位置=1.96%；估算当日涨跌=-0.74%；低点位置=53.19%；低点后量能修复=-19.39%
20260403132500,20260403,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.451,2.0,,可人工观察,信号后第 2 根 5m K 线开盘，候选买入价=4.451。
20260403133000,20260403,ENTRY_CANDIDATE,候选买入提示,510300.SH,4.451,3.0,,可人工观察,信号后第 3 根 5m K 线开盘，候选买入价=4.451。
20260403133000,20260403,SIM_BUY,模拟买入,510300.SH,4.451,3.0,4.0,开仓,按主口径：信号后第 3 根 5m K 线开盘模拟买入；计划第 3 个交易日尾盘退出。
20260408150000,20260408,EXIT_REMINDER,退出提示,510300.SH,4.602,,4.0,时间退出,第 3 个交易日尾盘退出提示；模拟收益=3.39%。
