rule_name,rule_label,entry_offset_bars,horizon_days,trade_count,month_count,win_rate,avg_return,median_return,min_return,avg_mae,worst_mae,avg_max_drawdown
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,3,11,8,0.909091,0.008056,0.007365,-0.025203,-0.009201,-0.033531,-0.02028
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,3,11,8,0.909091,0.007773,0.006556,-0.02627,-0.009479,-0.034588,-0.02028
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,17,9,0.823529,0.007154,0.009903,-0.027972,-0.010083,-0.040514,-0.021416
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,3,11,8,0.818182,0.007,0.005749,-0.025203,-0.010233,-0.033531,-0.02028
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,17,9,0.823529,0.006743,0.008315,-0.029245,-0.010488,-0.041349,-0.021416
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,17,9,0.823529,0.006424,0.009449,-0.029668,-0.0108,-0.042183,-0.021416
intraday_weak_low,盘中弱势低位预警,1,3,26,9,0.807692,0.004844,0.004938,-0.029668,-0.011299,-0.044676,-0.020822
intraday_weak_low,盘中弱势低位预警,3,3,25,9,0.84,0.004781,0.005093,-0.028729,-0.011208,-0.044883,-0.021027
intraday_weak_low,盘中弱势低位预警,2,3,25,9,0.8,0.004587,0.005405,-0.029245,-0.011402,-0.044883,-0.021027
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,5,11,8,0.818182,0.009649,0.009117,-0.024775,-0.012113,-0.033531,-0.023562
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,5,11,8,0.818182,0.009365,0.009342,-0.023919,-0.012392,-0.034588,-0.023562
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,17,9,0.764706,0.008941,0.009381,-0.024775,-0.012374,-0.040514,-0.024277
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,5,11,8,0.818182,0.008594,0.007132,-0.024775,-0.013144,-0.033531,-0.023562
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,17,9,0.764706,0.008531,0.00855,-0.025416,-0.012777,-0.041349,-0.024277
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,5,17,9,0.764706,0.008211,0.007132,-0.024989,-0.01309,-0.042183,-0.024277
intraday_weak_low,盘中弱势低位预警,3,5,25,9,0.76,0.006011,0.004757,-0.024989,-0.013892,-0.044883,-0.024595
intraday_weak_low,盘中弱势低位预警,2,5,25,9,0.72,0.005815,0.005201,-0.025416,-0.014086,-0.044883,-0.024595
intraday_weak_low,盘中弱势低位预警,1,5,26,9,0.692308,0.005094,0.004668,-0.025843,-0.014599,-0.044676,-0.025163
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,17,9,0.764706,0.018133,0.016878,-0.018188,-0.014906,-0.040514,-0.028161
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,17,9,0.764706,0.017708,0.015299,-0.019042,-0.015312,-0.041349,-0.028161
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,10,17,9,0.705882,0.017388,0.013502,-0.019896,-0.015624,-0.042183,-0.028161
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,10,11,8,0.727273,0.015468,0.011533,-0.004712,-0.016023,-0.033531,-0.029099
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,10,11,8,0.727273,0.015185,0.008923,-0.005801,-0.016302,-0.034588,-0.029099
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,10,11,8,0.636364,0.014406,0.007839,-0.004712,-0.017055,-0.033531,-0.029099
intraday_weak_low,盘中弱势低位预警,3,10,25,9,0.68,0.011936,0.008923,-0.022658,-0.017706,-0.044883,-0.029723
intraday_weak_low,盘中弱势低位预警,2,10,25,9,0.68,0.011736,0.007839,-0.022658,-0.017898,-0.044883,-0.029723
intraday_weak_low,盘中弱势低位预警,1,10,26,9,0.615385,0.011349,0.006966,-0.022446,-0.018313,-0.044676,-0.030141
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,15,8,0.933333,0.032938,0.029816,-0.003763,-0.017007,-0.040514,-0.037965
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,15,8,0.933333,0.032633,0.02998,-0.004832,-0.01729,-0.041349,-0.037965
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,20,15,8,0.866667,0.032277,0.029132,-0.004832,-0.017614,-0.042183,-0.037965
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20,10,7,0.9,0.031218,0.014441,-0.001186,-0.017715,-0.033531,-0.036209
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20,10,7,0.9,0.030911,0.013816,-0.003763,-0.01802,-0.034588,-0.036209
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,20,10,7,0.9,0.030139,0.013716,-0.004832,-0.018737,-0.033531,-0.036209
intraday_weak_low,盘中弱势低位预警,3,20,23,8,0.869565,0.025516,0.01628,-0.020313,-0.019839,-0.044883,-0.03769
intraday_weak_low,盘中弱势低位预警,2,20,23,8,0.869565,0.025412,0.018552,-0.017819,-0.019932,-0.044883,-0.03769
intraday_weak_low,盘中弱势低位预警,1,20,24,8,0.833333,0.02431,0.01527,-0.01886,-0.02028,-0.044676,-0.037811
