rule_name,rule_label,entry_offset_bars,horizon_days,signal_date,signal_time,signal_price,entry_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20250527,20250527130500,3.737,20250527131000,20250527,3.737,20250529,3.7615,0.006556,-0.002676,-0.010616,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20250801,20250801130500,4.017,20250801131000,20250801,4.018,20250805,4.061,0.010702,-0.005973,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20251020,20251020140500,4.514,20251020141000,20251020,4.514,20251022,4.5785,0.014289,-0.00288,-0.015435,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20251118,20251118131500,4.562,20251118132000,20251118,4.562,20251120,4.5795,0.003836,-0.004603,-0.012158,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20251121,20251121144500,4.446,20251121145000,20251121,4.445,20251125,4.487,0.009449,-0.007874,-0.026705,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20251127,20251127144000,4.504,20251127144500,20251127,4.505,20251201,4.5645,0.013208,-0.005549,-0.015601,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260122,20260122130500,4.711,20260122131000,20260122,4.711,20260126,4.736,0.005307,-0.005094,-0.015336,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260202,20260202130500,4.655,20260202131000,20260202,4.656,20260204,4.708,0.011168,-0.015249,-0.028396,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260320,20260320143000,4.599,20260320143500,20260320,4.599,20260324,4.4795,-0.025984,-0.042183,-0.049622,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260326,20260326130500,4.519,20260326131000,20260326,4.518,20260330,4.5025,-0.003431,-0.016158,-0.022432,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260331,20260331130500,4.487,20260331131000,20260331,4.487,20260402,4.5075,0.004569,-0.005572,-0.015852,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,20260403,20260403130500,4.457,20260403131000,20260403,4.458,20260408,4.603,0.032526,-0.006057,-0.018897,13
