rule_name,rule_label,fill_mode,horizon_days,trade_count,month_count,win_rate,avg_return,median_return,min_return,avg_mae,worst_mae,avg_max_drawdown
daily_weak_low,日线弱势低位规则,next_open,3,18,8,0.722222,0.006625,0.007676,-0.015148,-0.010304,-0.027164,-0.018251
stat_core,统计核心规则,next_open,3,14,7,0.714286,0.005985,0.007399,-0.015148,-0.011637,-0.027164,-0.018818
stat_balanced,统计平衡规则,next_open,3,16,9,0.6875,0.00508,0.004378,-0.015148,-0.012183,-0.027164,-0.02051
stat_core,统计核心规则,next_open,5,14,7,0.857143,0.010767,0.009206,-0.014929,-0.01289,-0.031833,-0.021484
daily_weak_low,日线弱势低位规则,next_open,5,18,8,0.777778,0.009965,0.009206,-0.014929,-0.012409,-0.031833,-0.021732
stat_balanced,统计平衡规则,next_open,5,16,9,0.75,0.009507,0.00881,-0.037081,-0.015549,-0.053095,-0.025247
stat_core,统计核心规则,next_open,10,14,7,0.642857,0.018538,0.017193,-0.010601,-0.015398,-0.031833,-0.025669
daily_weak_low,日线弱势低位规则,next_open,10,18,8,0.666667,0.017194,0.016863,-0.010601,-0.015532,-0.032904,-0.026434
stat_balanced,统计平衡规则,next_open,10,16,9,0.5625,0.015343,0.011068,-0.033534,-0.018141,-0.053095,-0.028797
stat_core,统计核心规则,next_open,20,12,6,0.833333,0.036434,0.030419,-0.007574,-0.017305,-0.031833,-0.035975
daily_weak_low,日线弱势低位规则,next_open,20,16,7,0.875,0.033406,0.030419,-0.007574,-0.016979,-0.032904,-0.034869
stat_balanced,统计平衡规则,next_open,20,14,8,0.785714,0.031111,0.020998,-0.009394,-0.020185,-0.053095,-0.038276
stat_balanced,统计平衡规则,research_midpoint,3,16,9,0.8125,0.009645,0.009062,-0.02274,-0.008038,-0.037053,-0.02431
stat_core,统计核心规则,research_midpoint,3,14,7,0.857143,0.008897,0.009062,-0.02274,-0.007966,-0.037053,-0.02253
daily_weak_low,日线弱势低位规则,research_midpoint,3,18,8,0.888889,0.008508,0.007316,-0.02274,-0.007099,-0.037053,-0.021257
daily_weak_low,日线弱势低位规则,research_midpoint,5,18,8,0.777778,0.009613,0.010244,-0.022525,-0.009799,-0.037053,-0.02436
stat_core,统计核心规则,research_midpoint,5,14,7,0.714286,0.009085,0.011138,-0.022525,-0.010755,-0.037053,-0.025567
stat_balanced,统计平衡规则,research_midpoint,5,16,9,0.6875,0.006635,0.005886,-0.034872,-0.012943,-0.051555,-0.02948
stat_core,统计核心规则,research_midpoint,10,14,7,0.714286,0.018162,0.016523,-0.014646,-0.013832,-0.037053,-0.029752
stat_balanced,统计平衡规则,research_midpoint,10,16,9,0.6875,0.017973,0.01318,-0.030782,-0.015573,-0.051771,-0.032796
daily_weak_low,日线弱势低位规则,research_midpoint,10,18,8,0.666667,0.016288,0.016523,-0.014646,-0.013972,-0.037053,-0.029609
stat_core,统计核心规则,research_midpoint,20,12,6,1.0,0.034499,0.025034,0.003516,-0.016628,-0.037053,-0.038038
daily_weak_low,日线弱势低位规则,research_midpoint,20,16,7,1.0,0.033619,0.025034,0.003516,-0.016087,-0.037053,-0.036416
stat_balanced,统计平衡规则,research_midpoint,20,14,8,1.0,0.032353,0.019016,0.001164,-0.018798,-0.051771,-0.041079
