rule_name,rule_label,fill_mode,horizon_days,strategy_trade_count,month_count,win_rate,avg_return,median_return,compounded_return,min_return,avg_mae,worst_mae,avg_max_drawdown
daily_weak_low,日线弱势低位规则,next_open,3,13,8,0.769231,0.008166,0.010337,0.110625,-0.015148,-0.009694,-0.027164,-0.018351
stat_core,统计核心规则,next_open,3,11,7,0.727273,0.006786,0.010129,0.076449,-0.015148,-0.010742,-0.027164,-0.018453
stat_balanced,统计平衡规则,next_open,3,13,9,0.692308,0.005549,0.004086,0.073544,-0.015148,-0.011551,-0.027164,-0.020592
daily_weak_low,日线弱势低位规则,next_open,5,9,7,0.666667,0.009364,0.00956,0.08671,-0.014929,-0.012617,-0.031833,-0.021205
stat_balanced,统计平衡规则,next_open,5,10,8,0.7,0.007735,0.011919,0.07758,-0.037081,-0.015695,-0.053095,-0.027378
stat_core,统计核心规则,next_open,5,8,6,0.75,0.008131,0.009165,0.066432,-0.014929,-0.013876,-0.031833,-0.021161
stat_balanced,统计平衡规则,next_open,10,9,8,0.666667,0.01916,0.018534,0.182935,-0.033534,-0.016844,-0.053095,-0.029259
daily_weak_low,日线弱势低位规则,next_open,10,7,7,0.571429,0.021592,0.017934,0.158258,-0.010601,-0.014746,-0.032904,-0.025922
stat_core,统计核心规则,next_open,10,6,6,0.5,0.018742,0.008748,0.114986,-0.010601,-0.016786,-0.031833,-0.02665
daily_weak_low,日线弱势低位规则,next_open,20,6,6,0.833333,0.04424,0.045971,0.290226,-0.007574,-0.016306,-0.032904,-0.031427
stat_balanced,统计平衡规则,next_open,20,7,7,0.714286,0.037171,0.032155,0.283498,-0.009394,-0.018869,-0.053095,-0.037987
stat_core,统计核心规则,next_open,20,5,5,0.6,0.040982,0.038276,0.216484,-0.007574,-0.019065,-0.031833,-0.032591
stat_balanced,统计平衡规则,research_midpoint,3,13,9,0.846154,0.010883,0.010084,0.149605,-0.020767,-0.007005,-0.037053,-0.0231
daily_weak_low,日线弱势低位规则,research_midpoint,3,13,8,0.923077,0.010007,0.010084,0.137086,-0.020767,-0.006319,-0.037053,-0.020474
stat_core,统计核心规则,research_midpoint,3,11,7,0.909091,0.010156,0.010084,0.116538,-0.020767,-0.006725,-0.037053,-0.020614
daily_weak_low,日线弱势低位规则,research_midpoint,5,9,7,0.666667,0.00484,0.005896,0.043403,-0.022525,-0.010743,-0.037053,-0.024847
stat_balanced,统计平衡规则,research_midpoint,5,10,8,0.7,0.003542,0.005886,0.034284,-0.034872,-0.011735,-0.051555,-0.028779
stat_core,统计核心规则,research_midpoint,5,8,6,0.625,0.002379,0.004963,0.018478,-0.022525,-0.011703,-0.037053,-0.025155
stat_balanced,统计平衡规则,research_midpoint,10,9,8,0.888889,0.02275,0.021108,0.220801,-0.030782,-0.012884,-0.051771,-0.030742
daily_weak_low,日线弱势低位规则,research_midpoint,10,7,7,0.714286,0.018788,0.012327,0.136279,-0.014646,-0.015393,-0.037053,-0.028582
stat_core,统计核心规则,research_midpoint,10,6,6,0.666667,0.017322,0.007702,0.106188,-0.014646,-0.017451,-0.037053,-0.029752
stat_balanced,统计平衡规则,research_midpoint,20,7,7,1.0,0.040119,0.023717,0.310418,0.001164,-0.018071,-0.051771,-0.04021
daily_weak_low,日线弱势低位规则,research_midpoint,20,6,6,1.0,0.041428,0.03044,0.27121,0.003516,-0.017247,-0.037053,-0.034848
stat_core,统计核心规则,research_midpoint,20,5,5,1.0,0.035842,0.023717,0.188552,0.003516,-0.020088,-0.037053,-0.036696
